key,name,moment,subject,text,score,recommended
review-12,"' or 'A' = 'A ",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
#moment-examples
review-13,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-14,"Lorem ipsum dolor sit ame",2000/01/01 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-15,"Lorem ipsum dolor sit ame",2000/01/01 0:01,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-16,"Lorem ipsum dolor sit ame",2024/12/31 23:59,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-17,"Lorem ipsum dolor sit ame",2025/01/01 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
#subject-examples
review-18,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"L","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-19,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lo","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-20,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-21,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-22,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"โลเร็ม อิปซัม","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-23,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"لوريم إيبسوم","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-24,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"洛伦·伊普森","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-25,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"<marquee>Hacked</marquee>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-26,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"<script>alert(‘Hacked!’);</script>","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-27,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"' or 'A' = 'A ","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
#text-examples
review-28,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-29,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","L",9.00,false
review-30,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lo",9.00,false
review-31,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",9.00,false
review-32,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",9.00,false
review-33,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","โลเร็ม อิปซัม",9.00,false
review-34,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","لوريم إيبسوم",9.00,false
review-35,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","洛伦·伊普森",9.00,false
review-36,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","<marquee>Hacked</marquee>",9.00,false
review-37,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","<script>alert(‘Hacked!’);</script>",9.00,false
review-38,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","' or 'A' = 'A ",9.00,false
#score-examples
review-39,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",5.00,false
review-40,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.00,false
review-41,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",0.01,false
review-42,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.99,false
review-43,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",10.00,false
#recommended-examples
review-44,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,false
review-45,"Lorem ipsum dolor sit ame",2012/07/02 0:00,"Lorem ipsum dolor sit ame","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",9.00,true


